zip_merge,total_pop,white,black,asian,latino
ZCTA5 01026,1100,1047,21,0,19
ZCTA5 01027,17641,15807,214,914,390
ZCTA5 01028,15555,14074,444,306,344
ZCTA5 01029,577,540,0,37,0
ZCTA5 01030,11633,10930,202,141,131
ZCTA5 01031,1524,1358,39,13,53
ZCTA5 01032,681,621,0,22,14
ZCTA5 01033,6159,5796,0,18,282
ZCTA5 01034,1856,1808,7,8,7
ZCTA5 01035,5209,4888,157,18,85
ZCTA5 01036,5078,4937,39,0,14
ZCTA5 01037,819,765,0,0,54
ZCTA5 01038,2553,2509,5,0,0
ZCTA5 01039,1470,1425,0,5,33
ZCTA5 01040,39897,18790,1367,383,18916
ZCTA5 01050,2656,2407,0,8,142
ZCTA5 01053,1913,1628,52,44,116
ZCTA5 01054,1756,1609,30,32,35
ZCTA5 01056,21131,19196,325,83,1250
ZCTA5 01057,8492,8037,80,16,313
ZCTA5 01060,14984,12039,429,1109,1095
ZCTA5 01062,11027,9453,168,182,961
ZCTA5 01063,697,428,61,81,49
ZCTA5 01066,0,0,0,0,0
ZCTA5 01068,1822,1775,0,0,29
ZCTA5 01069,8935,8689,30,63,90
ZCTA5 01070,580,539,5,0,24
ZCTA5 01071,1619,1501,0,0,86
ZCTA5 01072,1518,1339,12,29,27
ZCTA5 01073,5758,5276,33,0,342
ZCTA5 01074,338,338,0,0,0
ZCTA5 01075,17566,15712,403,456,702
ZCTA5 01077,9425,8894,17,155,295
ZCTA5 01079,195,184,0,0,0
ZCTA5 01080,2527,2259,34,10,180
ZCTA5 01081,1812,1759,10,0,3
ZCTA5 01082,10175,9773,18,10,276
ZCTA5 01083,2928,2815,40,0,29
ZCTA5 01084,235,229,0,0,4
ZCTA5 01085,40212,35753,527,708,2715
ZCTA5 01086,1463,1332,78,20,33
ZCTA5 01088,719,658,8,0,53
ZCTA5 01089,28320,23993,566,1123,2128
ZCTA5 01092,1460,1460,0,0,0
ZCTA5 01093,355,355,0,0,0
ZCTA5 01094,214,214,0,0,0
ZCTA5 01095,14183,13272,287,213,327
ZCTA5 01096,2078,1933,15,20,91
ZCTA5 01097,53,53,0,0,0
ZCTA5 01098,1136,1112,11,0,13
ZCTA5 01103,2481,763,298,47,1350
ZCTA5 01104,23038,7509,2587,295,12137
ZCTA5 01105,13105,2556,2551,14,7699
ZCTA5 01106,16087,14398,69,978,584
ZCTA5 01107,11368,1478,949,98,8688
ZCTA5 01108,24808,9845,3950,1373,9048
ZCTA5 01109,31134,7149,13071,396,9649
ZCTA5 01118,13754,9713,1634,465,1663
ZCTA5 01119,15044,8380,3045,153,3013
ZCTA5 01128,2536,1968,291,40,226
ZCTA5 01129,7165,4451,1086,446,1045
